pss_score,pss_stress_level,user,help,office,dance,money,wedding,domestic_work,sleep,medical_emergency,cold,hate,cheerfulness,aggression,occupation,envy,anticipation,family,vacation,crime,attractive,masculine,prison,health,pride,dispute,nervousness,government,weakness,horror,swearing_terms,leisure,suffering,royalty,wealthy,tourism,furniture,school,magic,beach,journalism,morning,banking,social_media,exercise,night,kill,blue_collar_job,art,ridicule,play,computer,college,optimism,stealing,real_estate,home,divine,sexual,fear,irritability,superhero,business,driving,pet,childish,cooking,exasperation,religion,hipster,internet,surprise,reading,worship,leader,independence,movement,body,noise,eating,medieval,zest,confusion,water,sports,death,healing,legend,heroic,celebration,restaurant,violence,programming,dominant_heirarchical,military,neglect,swimming,exotic,love,hiking,communication,hearing,order,sympathy,hygiene,weather,anonymity,trust,ancient,deception,fabric,air_travel,fight,dominant_personality,music,vehicle,politeness,toy,farming,meeting,war,speaking,listen,urban,shopping,disgust,fire,tool,phone,gain,sound,injury,sailing,rage,science,work,appearance,valuable,warmth,youth,sadness,fun,emotional,joy,affection,traveling,fashion,ugliness,lust,shame,torment,economics,anger,politics,ship,clothing,car,strength,technology,breaking,shape_and_size,power,white_collar_job,animal,party,terrorism,smell,disappointment,poor,plant,pain,beauty,timidity,philosophy,negotiate,negative_emotion,cleaning,messaging,competing,law,friends,payment,achievement,alcohol,liquid,feminine,weapon,children,monster,ocean,giving,contentment,writing,rural,positive_emotion,musical
14,moderate,Subject_0,0,0,0,0,0.3,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0
15,moderate,Subject_1,0.006410256,0.003205128,0,0.006410256,0.006410256,0,0.003205128,0,0,0,0,0,0.003205128,0,0,0.003205128,0.003205128,0.006410256,0,0.003205128,0.003205128,0,0,0.003205128,0,0.003205128,0,0,0,0,0,0,0,0.003205128,0.003205128,0,0,0.003205128,0,0,0.003205128,0.009615385,0,0,0,0,0.003205128,0,0,0,0,0,0.006410256,0.003205128,0.003205128,0,0,0,0,0,0.003205128,0,0,0.003205128,0,0,0,0.003205128,0.006410256,0,0,0,0.016025641,0,0,0,0,0,0,0,0.003205128,0,0,0,0.006410256,0,0,0.009615385,0.003205128,0,0,0,0,0,0,0,0,0,0,0,0.006410256,0,0,0.003205128,0,0,0,0.006410256,0.003205128,0.003205128,0,0,0,0,0,0,0,0.003205128,0.003205128,0.009615385,0.003205128,0,0.006410256,0,0,0,0.022435897,0.003205128,0,0,0,0,0,0.006410256,0,0.003205128,0,0,0,0.003205128,0,0,0,0.003205128,0.006410256,0,0,0,0,0.009615385,0,0,0,0.003205128,0,0,0,0,0,0.003205128,0.003205128,0,0.006410256,0,0,0,0,0,0,0,0,0,0.003205128,0.003205128,0.003205128,0.012820513,0,0,0.003205128,0.003205128,0.006410256,0,0,0,0,0,0,0,0.003205128,0,0,0,0,0.006410256
15,moderate,Subject_2,0.006410256,0.003205128,0,0.006410256,0.006410256,0,0.003205128,0,0,0,0,0,0.003205128,0,0,0.003205128,0.003205128,0.006410256,0,0.003205128,0.003205128,0,0,0.003205128,0,0.003205128,0,0,0,0,0,0,0,0.003205128,0.003205128,0,0,0.003205128,0,0,0.003205128,0.009615385,0,0,0,0,0.003205128,0,0,0,0,0,0.006410256,0.003205128,0.003205128,0,0,0,0,0,0.003205128,0,0,0.003205128,0,0,0,0.003205128,0.006410256,0,0,0,0.016025641,0,0,0,0,0,0,0,0.003205128,0,0,0,0.006410256,0,0,0.009615385,0.003205128,0,0,0,0,0,0,0,0,0,0,0,0.006410256,0,0,0.003205128,0,0,0,0.006410256,0.003205128,0.003205128,0,0,0,0,0,0,0,0.003205128,0.003205128,0.009615385,0.003205128,0,0.006410256,0,0,0,0.022435897,0.003205128,0,0,0,0,0,0.006410256,0,0.003205128,0,0,0,0.003205128,0,0,0,0.003205128,0.006410256,0,0,0,0,0.009615385,0,0,0,0.003205128,0,0,0,0,0,0.003205128,0.003205128,0,0.006410256,0,0,0,0,0,0,0,0,0,0.003205128,0.003205128,0.003205128,0.012820513,0,0,0.003205128,0.003205128,0.006410256,0,0,0,0,0,0,0,0.003205128,0,0,0,0,0.006410256
21,moderate,Subject_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,moderate,Subject_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,moderate,Subject_5,0,0.001449275,0.002898551,0.001449275,0.007246377,0.001449275,0,0.002898551,0.001449275,0.001449275,0.001449275,0,0.002898551,0,0,0.002898551,0.001449275,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002898551,0,0,0,0,0,0,0,0,0.001449275,0.001449275,0.004347826,0.001449275,0,0.002898551,0.001449275,0.002898551,0,0,0.001449275,0,0.001449275,0,0,0.001449275,0,0,0,0,0,0,0,0,0.001449275,0.001449275,0,0,0.001449275,0.004347826,0,0,0,0,0,0.001449275,0,0,0,0,0,0,0,0.001449275,0.002898551,0,0,0.001449275,0.008695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001449275,0,0.002898551,0,0,0,0,0,0.002898551,0,0,0,0,0.001449275,0,0,0,0,0.001449275,0,0,0,0.001449275,0,0,0.002898551,0,0,0,0.002898551,0,0,0,0.002898551,0,0.001449275,0.002898551,0,0,0,0,0,0,0,0,0.001449275,0,0,0,0,0,0,0,0,0,0,0.001449275,0,0.008695652,0,0,0,0.001449275,0,0.002898551,0,0,0,0,0.002898551,0.001449275,0.002898551,0.001449275,0,0.002898551,0.001449275,0.001449275,0,0,0,0,0.002898551,0,0,0.020289855,0,0,0.001449275,0.001449275,0
20,moderate,Subject_6,0,0,0,0.007874016,0.003937008,0,0,0,0,0,0.007874016,0,0,0,0,0.007874016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007874016,0,0,0,0,0.003937008,0,0.007874016,0,0,0.003937008,0,0,0,0,0,0,0.007874016,0,0,0,0,0.007874016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003937008,0,0,0,0,0.007874016,0,0,0,0,0,0,0,0,0.003937008,0,0,0,0.003937008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007874016,0,0,0,0,0,0,0,0,0,0,0,0,0.007874016,0,0.011811024,0,0,0,0,0,0,0,0,0.003937008,0,0,0.007874016,0,0,0,0,0,0,0,0,0,0,0,0,0.007874016,0,0,0,0,0,0,0,0,0,0.007874016,0.003937008,0,0,0.003937008,0,0.003937008,0.007874016,0.003937008,0,0,0.003937008,0,0.011811024,0,0,0,0.003937008,0,0,0.003937008,0
25,moderate,Subject_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,moderate,Subject_8,0,0.00754717,0.003773585,0.003773585,0.011320755,0,0,0,0,0,0.011320755,0,0,0,0,0.022641509,0.00754717,0.003773585,0.003773585,0,0.003773585,0.00754717,0,0,0,0,0,0,0,0.00754717,0,0,0,0,0,0.003773585,0,0,0,0,0,0.011320755,0.003773585,0,0,0,0.003773585,0,0.003773585,0.00754717,0.00754717,0.022641509,0,0.003773585,0,0.00754717,0,0,0,0,0.003773585,0,0,0.011320755,0,0,0,0.003773585,0.003773585,0,0.003773585,0.003773585,0.00754717,0,0,0,0.003773585,0,0,0,0,0,0.00754717,0.01509434,0,0,0,0.018867925,0,0,0,0,0,0,0,0,0,0,0.003773585,0,0.003773585,0,0,0,0,0.003773585,0,0,0,0,0,0,0.011320755,0,0.003773585,0.003773585,0,0.003773585,0,0.003773585,0.003773585,0,0.003773585,0,0,0,0,0,0,0.003773585,0,0,0.003773585,0.003773585,0,0.00754717,0,0,0,0.003773585,0,0,0,0.011320755,0,0,0,0,0,0.003773585,0,0,0,0,0,0,0.003773585,0,0,0,0,0.003773585,0.018867925,0,0,0,0,0,0,0,0,0,0.003773585,0.003773585,0,0.00754717,0,0,0.022641509,0.003773585,0.003773585,0,0.003773585,0,0,0.00754717,0,0,0.003773585,0,0.00754717,0,0.018867925,0.00754717
19,moderate,Subject_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
